Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
8,1691305200.0,0.19904998,236
9,1691308800.0,0.13221589,236
10,1691312400.0,0.18126538,236
11,1691316000.0,0.21317743,236
12,1691319600.0,0.24691382,236
13,1691323200.0,0.26719475,236
14,1691326800.0,0.2442984,236
15,1691330400.0,0.27728224,236
16,1691334000.0,0.28553876,236
17,1691337600.0,0.32552555,236
18,1691341200.0,0.23424965,236
19,1691344800.0,0.15159002,236
20,1691348400.0,0.13524434,236
21,1691352000.0,0.049900793,236
22,1691355600.0,0.0445552,236
23,1691359200.0,0.013956165,236
0,1691276400.0,0.05156156,237
1,1691280000.0,0.10266407,237
2,1691283600.0,0.072987035,237
3,1691287200.0,0.08959458,237
4,1691290800.0,0.08245307,237
5,1691294400.0,0.0480559,237
6,1691298000.0,0.12752153,237
7,1691301600.0,0.09758847,237
8,1691305200.0,0.17880435,237
9,1691308800.0,0.16197641,237
10,1691312400.0,0.26501942,237
11,1691316000.0,0.2994327,237
12,1691319600.0,0.33316907,237
13,1691323200.0,0.33301678,237
14,1691326800.0,0.29899445,237
15,1691330400.0,0.33197826,237
16,1691334000.0,0.3402348,237
17,1691337600.0,0.41191256,237
18,1691341200.0,0.50908273,237
19,1691344800.0,0.44785437,237
20,1691348400.0,0.20025298,237
21,1691352000.0,0.13317664,237
22,1691355600.0,0.09928338,237
23,1691359200.0,0.06868443,237
0,1691276400.0,1.062986,238
1,1691280000.0,1.0930954,238
2,1691283600.0,1.0634184,238
3,1691287200.0,0.8839306,238
4,1691290800.0,0.87678903,238
5,1691294400.0,0.80666876,238
6,1691298000.0,0.8627406,238
7,1691301600.0,0.935138,238
8,1691305200.0,1.0163536,238
9,1691308800.0,1.0019602,238
10,1691312400.0,1.2263411,238
11,1691316000.0,1.6446517,238
12,1691319600.0,1.678388,238
13,1691323200.0,1.9360174,238
14,1691326800.0,1.936459,238
15,1691330400.0,1.9721773,238
16,1691334000.0,1.9804341,238
17,1691337600.0,1.6724882,238
18,1691341200.0,1.0320344,238
19,1691344800.0,0.8549477,238
20,1691348400.0,0.82324654,238
21,1691352000.0,0.7967484,238
22,1691355600.0,0.7121415,238
23,1691359200.0,0.43775007,238
0,1691276400.0,0.1897714,239
1,1691280000.0,0.18924631,239
2,1691283600.0,0.15956928,239
3,1691287200.0,0.14770691,239
4,1691290800.0,0.14056541,239
5,1691294400.0,0.07740778,239
6,1691298000.0,0.11752186,239
7,1691301600.0,0.16221857,239
8,1691305200.0,0.28932172,239
9,1691308800.0,0.27761203,239
10,1691312400.0,0.402832,239
11,1691316000.0,0.4357134,239
12,1691319600.0,0.46944982,239
13,1691323200.0,0.5208044,239
14,1691326800.0,0.50946033,239
15,1691330400.0,0.5424441,239
16,1691334000.0,0.55070066,239
17,1691337600.0,0.5789635,239
18,1691341200.0,0.5330854,239
19,1691344800.0,0.4772635,239
20,1691348400.0,0.37059045,239
21,1691352000.0,0.27837265,239
22,1691355600.0,0.2444794,239
23,1691359200.0,0.17573354,239
0,1691276400.0,0.175869,24
1,1691280000.0,0.2059784,24
2,1691283600.0,0.17157285,24
3,1691287200.0,0.14894934,24
4,1691290800.0,0.1341737,24
5,1691294400.0,0.07101604,24
6,1691298000.0,0.11113017,24
7,1691301600.0,0.15286702,24
8,1691305200.0,0.28973362,24
9,1691308800.0,0.25496817,24
10,1691312400.0,0.31984806,24
11,1691316000.0,0.35212243,24
12,1691319600.0,0.38245583,24
13,1691323200.0,0.40273672,24
14,1691326800.0,0.40317833,24
15,1691330400.0,0.44471654,24
16,1691334000.0,0.43901783,24
17,1691337600.0,0.524442,24
18,1691341200.0,0.4785639,24
19,1691344800.0,0.33262464,24
20,1691348400.0,0.2734101,24
21,1691352000.0,0.20032005,24
22,1691355600.0,0.16642687,24
23,1691359200.0,0.12585744,24
0,1691276400.0,0.094652675,243
1,1691280000.0,0.12476206,243
